Gene ID	Chromosome	Peak_start	Peak_end	annotation
AT1G04250	Chr1	1138317	1138321	Exon (AT1G04250.1/AT1G04250, exon 5 of 5)
AT1G04270	Chr1	1142617	1142633	Promoter
AT1G04270	Chr1	1142721	1142748	Promoter
AT1G04290	Chr1	1148173	1148183	Promoter
AT1G04320	Chr1	1159060	1159093	Promoter
AT1G04340	Chr1	1164697	1164723	Promoter
AT1G04380	Chr1	1177831	1177845	Exon (AT1G04380.2/AT1G04380, exon 2 of 2)
AT1G04410	Chr1	1189625	1189645	Exon (AT1G04410.1/AT1G04410, exon 6 of 7)
AT1G04410	Chr1	1189823	1189848	Exon (AT1G04410.1/AT1G04410, exon 5 of 7)
AT1G04410	Chr1	1190231	1190270	Exon (AT1G04410.1/AT1G04410, exon 4 of 7)
AT1G04410	Chr1	1190273	1190296	Exon (AT1G04410.1/AT1G04410, exon 4 of 7)
AT1G04430	Chr1	1198951	1198987	Exon (AT1G04430.1/AT1G04430, exon 2 of 8)
AT1G04440	Chr1	1204511	1204519	Exon (AT1G04440.1/AT1G04440, exon 10 of 14)
AT1G04440	Chr1	1204619	1204625	Exon (AT1G04440.1/AT1G04440, exon 11 of 14)
AT1G04440	Chr1	1205832	1205845	3' UTR
AT1G04455	Chr1	1210463	1210497	Promoter
AT1G04455	Chr1	1210510	1210544	Promoter
AT1G04490	Chr1	1218153	1218165	3' UTR
AT1G04560	Chr1	1245146	1245165	Promoter
AT1G04560	Chr1	1245838	1245855	Exon (AT1G04560.1/AT1G04560, exon 3 of 3)
AT1G04580	Chr1	1252253	1252267	Exon (AT1G04580.1/AT1G04580, exon 10 of 10)
AT1G04680	Chr1	1306831	1306865	Exon (AT1G04680.1/AT1G04680, exon 2 of 6)
AT1G04690	Chr1	1314016	1314029	Exon (AT1G04690.1/AT1G04690, exon 1 of 5)
AT1G04690	Chr1	1314464	1314487	Exon (AT1G04690.1/AT1G04690, exon 2 of 5)
AT1G04720	Chr1	1324971	1324989	Promoter
AT1G04750	Chr1	1332728	1332730	5' UTR
AT1G04750	Chr1	1333237	1333252	5' UTR
AT1G04760	Chr1	1335744	1335758	Intron (AT1G04760.1/AT1G04760, intron 3 of 4)
AT1G04790	Chr1	1348787	1348835	3' UTR
AT1G04800	Chr1	1348928	1348979	Promoter
AT1G04800	Chr1	1349087	1349131	Promoter
AT1G04800	Chr1	1349150	1349201	Promoter
AT1G04820	Chr1	1356456	1356492	Exon (AT1G04820.1/AT1G04820, exon 3 of 3)
AT1G04820	Chr1	1356970	1356977	Exon (AT1G04820.1/AT1G04820, exon 3 of 3)
AT1G04820	Chr1	1357248	1357261	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357621	1357654	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357668	1357709	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357753	1357763	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1358174	1358189	Promoter
AT1G05010	Chr1	1431944	1431963	Exon (AT1G05010.1/AT1G05010, exon 3 of 4)
AT1G05010	Chr1	1431976	1432030	Exon (AT1G05010.1/AT1G05010, exon 3 of 4)
AT1G05010	Chr1	1432292	1432332	Exon (AT1G05010.1/AT1G05010, exon 2 of 4)
AT1G05090	Chr1	1465664	1465678	3' UTR
AT1G05150	Chr1	1485906	1485917	Exon (AT1G05150.1/AT1G05150, exon 1 of 1)
AT1G05200	Chr1	1506509	1506517	Exon (AT1G05200.3/AT1G05200, exon 3 of 6)
AT1G05205	Chr1	1509692	1509701	Exon (AT1G05205.1/AT1G05205, exon 2 of 3)
AT1G05250	Chr1	1526266	1526273	Exon (AT1G05250.1/AT1G05250, exon 4 of 4)
AT1G05260	Chr1	1529871	1529909	Promoter
AT1G05270	Chr1	1532190	1532204	Intron (AT1G05270.1/AT1G05270, intron 7 of 8)
AT1G05390	Chr1	1583790	1583809	Promoter
AT1G05490	Chr1	1620753	1620769	Intron (AT1G05490.1/AT1G05490, intron 3 of 3)
AT1G05740	Chr1	1720673	1720688	5' UTR
AT1G05820	Chr1	1753205	1753221	3' UTR
AT1G05830	Chr1	1754372	1754383	5' UTR
AT1G05830	Chr1	1755274	1755286	Exon (AT1G05830.3/AT1G05830, exon 2 of 24)
AT1G05850	Chr1	1766906	1766922	Exon (AT1G05850.1/AT1G05850, exon 4 of 4)
AT1G05850	Chr1	1767390	1767414	Exon (AT1G05850.1/AT1G05850, exon 3 of 4)
AT1G05850	Chr1	1767885	1767914	Exon (AT1G05850.1/AT1G05850, exon 2 of 4)
AT1G05850	Chr1	1768042	1768076	Exon (AT1G05850.1/AT1G05850, exon 2 of 4)
AT1G06000	Chr1	1821571	1821584	Promoter
AT1G06000	Chr1	1821609	1821627	Promoter
AT1G06040	Chr1	1828823	1828870	3' UTR
AT1G06040	Chr1	1828987	1829035	Exon (AT1G06040.1/AT1G06040, exon 2 of 3)
AT1G06040	Chr1	1829492	1829496	Promoter
AT1G06040	Chr1	1829551	1829579	Promoter
AT1G06200	Chr1	1894651	1894653	Exon (AT1G06200.2/AT1G06200, exon 5 of 5)
AT1G06290	Chr1	1922531	1922557	Promoter
AT1G06290	Chr1	1922853	1922857	Exon (AT1G06290.1/AT1G06290, exon 1 of 13)
AT1G06410	Chr1	1955477	1955491	Exon (AT1G06410.1/AT1G06410, exon 2 of 5)
AT1G06430	Chr1	1962460	1962477	Exon (AT1G06430.2/AT1G06430, exon 1 of 4)
AT1G06430	Chr1	1962967	1962980	5' UTR
AT1G06460	Chr1	1968338	1968366	Exon (AT1G06460.1/AT1G06460, exon 4 of 7)
AT1G06550	Chr1	2005565	2005584	Exon (AT1G06550.1/AT1G06550, exon 8 of 16)
AT1G06680	Chr1	2047969	2047990	5' UTR
AT1G06680	Chr1	2048011	2048051	5' UTR
AT1G06680	Chr1	2048102	2048168	Promoter
AT1G06680	Chr1	2048317	2048318	Exon (AT1G06680.1/AT1G06680, exon 2 of 4)
AT1G06680	Chr1	2048462	2048507	Exon (AT1G06680.1/AT1G06680, exon 2 of 4)
AT1G06680	Chr1	2048624	2048647	Exon (AT1G06680.1/AT1G06680, exon 3 of 4)
AT1G06680	Chr1	2049016	2049055	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06680	Chr1	2049105	2049106	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06680	Chr1	2049128	2049167	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06760	Chr1	2077247	2077293	Promoter
AT1G04527	Chr1	2111128	2111145	Promoter
AT1G06880	Chr1	2111188	2111209	Promoter
AT1G06950	Chr1	2135429	2135449	Promoter
AT1G06970	Chr1	2139870	2139883	Exon (AT1G06970.1/AT1G06970, exon 3 of 3)
AT1G07010	Chr1	2153243	2153259	Promoter
AT1G07080	Chr1	2170153	2170157	Promoter
AT1G07080	Chr1	2170191	2170201	Promoter
AT1G07080	Chr1	2170225	2170262	Promoter
AT1G07100	Chr1	2177927	2177958	Promoter
AT1G07240	Chr1	2224988	2224999	Exon (AT1G07240.1/AT1G07240, exon 1 of 1)
AT1G07320	Chr1	2249245	2249274	Promoter
AT1G07320	Chr1	2249338	2249367	Promoter
AT1G07320	Chr1	2249840	2249893	Exon (AT1G07320.1/AT1G07320, exon 1 of 2)
AT1G07320	Chr1	2249946	2249964	Exon (AT1G07320.1/AT1G07320, exon 1 of 2)
AT1G07470	Chr1	2291841	2291849	Promoter
AT1G07470	Chr1	2292027	2292037	Exon (AT1G07470.2/AT1G07470, exon 2 of 11)
AT1G07470	Chr1	2294070	2294076	Exon (AT1G07470.2/AT1G07470, exon 9 of 11)
AT1G07470	Chr1	2294171	2294173	Exon (AT1G07470.2/AT1G07470, exon 10 of 11)
AT1G07480	Chr1	2299103	2299114	Promoter
AT1G07510	Chr1	2307097	2307106	Exon (AT1G07510.1/AT1G07510, exon 5 of 8)
AT1G07590	Chr1	2338919	2338945	5' UTR
AT1G07590	Chr1	2338948	2338985	5' UTR
AT1G07590	Chr1	2339266	2339304	5' UTR
AT1G07610	Chr1	2341619	2341650	Promoter
AT1G07610	Chr1	2341654	2341657	Promoter
AT1G07610	Chr1	2341784	2341802	Promoter
AT1G07670	Chr1	2371603	2371606	Exon (AT1G07670.1/AT1G07670, exon 6 of 9)
AT1G07670	Chr1	2373697	2373722	Exon (AT1G07670.1/AT1G07670, exon 2 of 9)
AT1G07720	Chr1	2391409	2391421	Exon (AT1G07720.2/AT1G07720, exon 1 of 1)
AT1G07750	Chr1	2404960	2404972	Exon (AT1G07750.1/AT1G07750, exon 2 of 3)
AT1G07760	Chr1	2406853	2406868	Promoter
AT1G07770	Chr1	2408483	2408512	Exon (AT1G07770.1/AT1G07770, exon 5 of 5)
AT1G07770	Chr1	2408681	2408705	Exon (AT1G07770.1/AT1G07770, exon 4 of 5)
AT1G07820	Chr1	2421542	2421583	Promoter
AT1G07820	Chr1	2421594	2421635	Promoter
AT1G07890	Chr1	2438050	2438086	Exon (AT1G07890.1/AT1G07890, exon 2 of 9)
AT1G07890	Chr1	2438236	2438257	Exon (AT1G07890.1/AT1G07890, exon 3 of 9)
AT1G07890	Chr1	2438517	2438555	Exon (AT1G07890.1/AT1G07890, exon 4 of 9)
AT1G07890	Chr1	2438709	2438713	Exon (AT1G07890.1/AT1G07890, exon 5 of 9)
AT1G07890	Chr1	2438745	2438787	Exon (AT1G07890.1/AT1G07890, exon 5 of 9)
AT1G07890	Chr1	2438935	2438952	Exon (AT1G07890.1/AT1G07890, exon 6 of 9)
AT1G07890	Chr1	2438977	2439005	Exon (AT1G07890.1/AT1G07890, exon 6 of 9)
AT1G07890	Chr1	2439138	2439177	Exon (AT1G07890.1/AT1G07890, exon 7 of 9)
AT1G07920	Chr1	2455925	2455934	Exon (AT1G07920.1/AT1G07920, exon 2 of 3)
AT1G07920	Chr1	2456013	2456017	Exon (AT1G07920.1/AT1G07920, exon 2 of 3)
AT1G07920	Chr1	2456129	2456168	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456179	2456221	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456510	2456542	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456647	2456683	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456707	2456778	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456937	2456949	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07930	Chr1	2459137	2459185	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459193	2459227	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459237	2459285	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459470	2459473	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459578	2459593	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07930	Chr1	2460161	2460195	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07930	Chr1	2460265	2460321	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07930	Chr1	2460329	2460334	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07940	Chr1	2463514	2463537	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463576	2463700	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463748	2463753	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463812	2463821	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463823	2463839	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463877	2463921	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463988	2463992	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463997	2464034	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2464133	2464169	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2464184	2464217	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2464386	2464390	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G07940	Chr1	2464495	2464568	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G07940	Chr1	2464579	2464613	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G07940	Chr1	2464621	2464679	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G08030	Chr1	2491249	2491262	Exon (AT1G08030.1/AT1G08030, exon 7 of 13)
AT1G08060	Chr1	2503173	2503187	Exon (AT1G08060.1/AT1G08060, exon 13 of 16)
AT1G08110	Chr1	2536611	2536623	Exon (AT1G08110.1/AT1G08110, exon 5 of 9)
AT1G08200	Chr1	2576093	2576106	Exon (AT1G08200.1/AT1G08200, exon 2 of 9)
AT1G08240	Chr1	2588525	2588560	Promoter
AT1G08360	Chr1	2636839	2636854	Exon (AT1G08360.1/AT1G08360, exon 3 of 5)
AT1G08360	Chr1	2637204	2637252	Exon (AT1G08360.1/AT1G08360, exon 4 of 5)
AT1G08360	Chr1	2637435	2637439	Exon (AT1G08360.1/AT1G08360, exon 5 of 5)
AT1G08380	Chr1	2641008	2641150	Exon (AT1G08380.1/AT1G08380, exon 3 of 3)
AT1G08380	Chr1	2641194	2641272	Exon (AT1G08380.1/AT1G08380, exon 3 of 3)
AT1G08380	Chr1	2641537	2641551	Promoter
AT1G08480	Chr1	2684420	2684461	Promoter
AT1G08480	Chr1	2685293	2685325	Exon (AT1G08480.1/AT1G08480, exon 3 of 3)
AT1G08510	Chr1	2693359	2693375	Exon (AT1G08510.1/AT1G08510, exon 2 of 6)
AT1G08520	Chr1	2696617	2696673	Promoter
AT1G08520	Chr1	2696721	2696728	Promoter
AT1G08520	Chr1	2698201	2698203	Exon (AT1G08520.1/AT1G08520, exon 6 of 15)
AT1G08520	Chr1	2698624	2698636	Exon (AT1G08520.1/AT1G08520, exon 7 of 15)
AT1G08560	Chr1	2710201	2710212	Exon (AT1G08560.1/AT1G08560, exon 2 of 2)
AT1G08570	Chr1	2713707	2713719	Exon (AT1G08570.1/AT1G08570, exon 2 of 4)
AT1G08570	Chr1	2713886	2713924	Exon (AT1G08570.1/AT1G08570, exon 3 of 4)
AT1G08600	Chr1	2732339	2732351	Exon (AT1G08600.3/AT1G08600, exon 25 of 28)
AT1G08630	Chr1	2745155	2745167	Intron (AT1G08630.4/AT1G08630, intron 2 of 8)
AT1G08640	Chr1	2749223	2749235	Exon (AT1G08640.1/AT1G08640, exon 9 of 10)
AT1G08720	Chr1	2776486	2776500	Exon (AT1G08720.1/AT1G08720, exon 4 of 13)
AT1G08750	Chr1	2804384	2804398	3' UTR
AT1G08840	Chr1	2838385	2838395	5' UTR
AT1G08870	Chr1	2846536	2846552	Promoter
AT1G08880	Chr1	2847471	2847495	Exon (AT1G08880.1/AT1G08880, exon 1 of 2)
AT1G08950	Chr1	2879354	2879374	Promoter
AT1G09000	Chr1	2891821	2891840	Exon (AT1G09000.2/AT1G09000, exon 4 of 15)
AT1G09020	Chr1	2900460	2900466	Exon (AT1G09020.1/AT1G09020, exon 12 of 13)
AT1G09020	Chr1	2900658	2900666	Exon (AT1G09020.1/AT1G09020, exon 11 of 13)
AT1G09070	Chr1	2928002	2928004	Promoter
AT1G09090	Chr1	2935126	2935139	Exon (AT1G09090.1/AT1G09090, exon 7 of 11)
AT1G09090	Chr1	2936028	2936041	3' UTR
AT1G09110	Chr1	2939418	2939422	Promoter
AT1G09110	Chr1	2939454	2939487	Promoter
AT1G09130	Chr1	2940861	2940869	Exon (AT1G09130.1/AT1G09130, exon 6 of 10)
AT1G09130	Chr1	2940958	2940969	Exon (AT1G09130.1/AT1G09130, exon 5 of 10)
AT1G09130	Chr1	2941597	2941614	Exon (AT1G09130.1/AT1G09130, exon 2 of 10)
AT1G09130	Chr1	2942124	2942161	Promoter
AT1G09200	Chr1	2971769	2971778	Exon (AT1G09200.1/AT1G09200, exon 1 of 1)
AT1G09200	Chr1	2971925	2971946	Promoter
AT1G09210	Chr1	2976591	2976621	Promoter
AT1G09270	Chr1	2996648	2996650	Exon (AT1G09270.1/AT1G09270, exon 7 of 10)
AT1G09310	Chr1	3009250	3009340	Promoter
AT1G09310	Chr1	3009357	3009391	Promoter
AT1G09310	Chr1	3009439	3009463	Exon (AT1G09310.1/AT1G09310, exon 1 of 1)
AT1G09310	Chr1	3009509	3009553	Exon (AT1G09310.1/AT1G09310, exon 1 of 1)
AT1G09340	Chr1	3016130	3016165	Exon (AT1G09340.2/AT1G09340, exon 2 of 10)
AT1G09340	Chr1	3017045	3017051	Exon (AT1G09340.2/AT1G09340, exon 7 of 10)
AT1G09340	Chr1	3017171	3017247	Exon (AT1G09340.2/AT1G09340, exon 7 of 10)
AT1G09340	Chr1	3017868	3017883	Exon (AT1G09340.2/AT1G09340, exon 10 of 10)
AT1G09410	Chr1	3037369	3037381	Exon (AT1G09410.1/AT1G09410, exon 1 of 1)
AT1G09500	Chr1	3067838	3067853	Intron (AT1G09500.1/AT1G09500, intron 3 of 4)
AT1G09590	Chr1	3107478	3107483	Exon (AT1G09590.1/AT1G09590, exon 2 of 2)
AT1G09590	Chr1	3107507	3107517	Exon (AT1G09590.1/AT1G09590, exon 2 of 2)
AT1G09640	Chr1	3121449	3121470	Exon (AT1G09640.1/AT1G09640, exon 7 of 8)
AT1G09690	Chr1	3137272	3137290	Promoter
AT1G09690	Chr1	3137301	3137318	Promoter
AT1G09690	Chr1	3137372	3137385	Promoter
AT1G09730	Chr1	3148675	3148682	Exon (AT1G09730.2/AT1G09730, exon 15 of 16)
AT1G09780	Chr1	3167035	3167038	Exon (AT1G09780.1/AT1G09780, exon 3 of 7)
AT1G09780	Chr1	3167086	3167108	Exon (AT1G09780.1/AT1G09780, exon 3 of 7)
AT1G09780	Chr1	3167356	3167377	Exon (AT1G09780.1/AT1G09780, exon 2 of 7)
AT1G09800	Chr1	3180543	3180546	5' UTR
AT1G04733	Chr1	3180618	3180624	5' UTR
AT1G09870	Chr1	3207502	3207518	Exon (AT1G09870.1/AT1G09870, exon 7 of 11)
AT1G09970	Chr1	3252338	3252358	5' UTR
AT1G10030	Chr1	3274048	3274083	Promoter
AT1G10130	Chr1	3320025	3320038	Exon (AT1G10130.1/AT1G10130, exon 26 of 34)
AT1G10140	Chr1	3323305	3323317	Promoter
AT1G10200	Chr1	3347352	3347414	Exon (AT1G10200.2/AT1G10200, exon 1 of 4)
AT1G10270	Chr1	3364650	3364664	Exon (AT1G10270.1/AT1G10270, exon 1 of 1)
AT1G10340	Chr1	3391898	3391910	Exon (AT1G10340.2/AT1G10340, exon 2 of 3)
AT1G10370	Chr1	3397585	3397620	Exon (AT1G10370.1/AT1G10370, exon 2 of 2)
AT1G10370	Chr1	3398074	3398111	Promoter
AT1G10440	Chr1	3431185	3431220	Promoter
AT1G10500	Chr1	3460766	3460794	Exon (AT1G10500.1/AT1G10500, exon 2 of 3)
AT1G10522	Chr1	3469705	3469727	5' UTR
AT1G10550	Chr1	3479397	3479411	Exon (AT1G10550.1/AT1G10550, exon 4 of 4)
AT1G10630	Chr1	3512925	3512941	3' UTR
AT1G10630	Chr1	3513846	3513849	Exon (AT1G10630.1/AT1G10630, exon 4 of 7)
AT1G10630	Chr1	3513935	3513952	Exon (AT1G10630.1/AT1G10630, exon 3 of 7)
AT1G10670	Chr1	3536275	3536278	Exon (AT1G10670.1/AT1G10670, exon 3 of 12)
AT1G10670	Chr1	3536387	3536390	Exon (AT1G10670.1/AT1G10670, exon 4 of 12)
AT1G10670	Chr1	3536527	3536545	Exon (AT1G10670.1/AT1G10670, exon 4 of 12)
AT1G10670	Chr1	3536650	3536656	Exon (AT1G10670.1/AT1G10670, exon 5 of 12)
AT1G10670	Chr1	3537373	3537411	Exon (AT1G10670.1/AT1G10670, exon 9 of 12)
AT1G10670	Chr1	3537948	3537974	Exon (AT1G10670.1/AT1G10670, exon 12 of 12)
AT1G10760	Chr1	3582207	3582214	Exon (AT1G10760.1/AT1G10760, exon 30 of 34)
AT1G10880	Chr1	3626916	3626930	Promoter
AT1G10950	Chr1	3659335	3659397	Promoter
AT1G10950	Chr1	3662463	3662500	Exon (AT1G10950.1/AT1G10950, exon 10 of 12)
AT1G10960	Chr1	3664490	3664582	Promoter
AT1G10960	Chr1	3664683	3664698	Promoter
