Gene ID	Chromosome	Peak_start	Peak_end	annotation
AT1G01550	Chr1	200906	200931	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
AT1G01550	Chr1	201470	201496	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
AT1G01590	Chr1	214400	214407	Promoter
AT1G01590	Chr1	214480	214484	Promoter
AT1G01590	Chr1	217391	217404	3' UTR
AT1G01620	Chr1	226536	226588	Exon (AT1G01620.2/AT1G01620, exon 3 of 5)
AT1G01620	Chr1	226960	226966	5' UTR
AT1G01650	Chr1	237520	237533	5' UTR
AT1G01830	Chr1	302090	302102	5' UTR
AT1G01870	Chr1	306439	306456	Promoter
AT1G01880	Chr1	309273	309290	Promoter
AT1G01940	Chr1	323219	323238	Promoter
AT1G01950	Chr1	329002	329007	Exon (AT1G01950.1/AT1G01950, exon 13 of 19)
AT1G02000	Chr1	346311	346321	Exon (AT1G02000.1/AT1G02000, exon 1 of 1)
AT1G02065	Chr1	366199	366209	Exon (AT1G02065.2/AT1G02065, exon 1 of 2)
AT1G02090	Chr1	387593	387604	3' UTR
AT1G02090	Chr1	388332	388340	Exon (AT1G02090.1/AT1G02090, exon 7 of 9)
AT1G02110	Chr1	393413	393424	Exon (AT1G02110.1/AT1G02110, exon 1 of 4)
AT1G02130	Chr1	400417	400436	Exon (AT1G02130.1/AT1G02130, exon 8 of 8)
AT1G02130	Chr1	401172	401186	Exon (AT1G02130.1/AT1G02130, exon 5 of 8)
AT1G02130	Chr1	401661	401667	Promoter
AT1G02140	Chr1	403913	403948	Exon (AT1G02140.1/AT1G02140, exon 2 of 3)
AT1G02140	Chr1	404186	404220	Promoter
AT1G02330	Chr1	462922	462926	Exon (AT1G02330.1/AT1G02330, exon 3 of 6)
AT1G02475	Chr1	514595	514601	Exon (AT1G02475.1/AT1G02475, exon 4 of 8)
AT1G02475	Chr1	514705	514710	Exon (AT1G02475.1/AT1G02475, exon 3 of 8)
AT1G02500	Chr1	519335	519396	Exon (AT1G02500.1/AT1G02500, exon 2 of 2)
AT1G02500	Chr1	519432	519459	Exon (AT1G02500.1/AT1G02500, exon 2 of 2)
AT1G02560	Chr1	538087	538119	Promoter
AT1G02560	Chr1	538317	538329	Exon (AT1G02560.1/AT1G02560, exon 2 of 9)
AT1G02560	Chr1	538835	538851	Exon (AT1G02560.1/AT1G02560, exon 5 of 9)
AT1G02600	Chr1	552639	552671	Promoter
AT1G02590	Chr1	552676	552693	Promoter
AT1G02640	Chr1	564436	564447	Promoter
AT1G02720	Chr1	592737	592750	Exon (AT1G02720.1/AT1G02720, exon 1 of 2)
AT1G02730	Chr1	597284	597300	Exon (AT1G02730.1/AT1G02730, exon 2 of 3)
AT1G02760	Chr1	604444	604476	Promoter
AT1G02780	Chr1	608246	608290	Exon (AT1G02780.1/AT1G02780, exon 4 of 5)
AT1G02780	Chr1	608452	608463	Exon (AT1G02780.1/AT1G02780, exon 3 of 5)
AT1G02780	Chr1	608597	608634	Exon (AT1G02780.1/AT1G02780, exon 3 of 5)
AT1G02780	Chr1	608837	608889	Exon (AT1G02780.1/AT1G02780, exon 2 of 5)
AT1G02780	Chr1	609292	609295	Promoter
AT1G02780	Chr1	609353	609377	Promoter
AT1G02870	Chr1	637955	637969	Exon (AT1G04153.1/AT1G04153, exon 1 of 1)
AT1G02890	Chr1	647603	647623	Exon (AT1G02890.1/AT1G02890, exon 16 of 27)
AT1G02900	Chr1	654267	654284	Promoter
AT1G02920	Chr1	659102	659145	Exon (AT1G02920.1/AT1G02920, exon 3 of 3)
AT1G02920	Chr1	659151	659189	Exon (AT1G02920.1/AT1G02920, exon 3 of 3)
AT1G02930	Chr1	661459	661504	Exon (AT1G02930.1/AT1G02930, exon 3 of 3)
AT1G02930	Chr1	661527	661551	Exon (AT1G02930.1/AT1G02930, exon 3 of 3)
AT1G02930	Chr1	661598	661616	Exon (AT1G02930.1/AT1G02930, exon 3 of 3)
AT1G02930	Chr1	661935	661935	Exon (AT1G02930.1/AT1G02930, exon 2 of 3)
AT1G02930	Chr1	662111	662153	Promoter
AT1G03070	Chr1	729852	729866	5' UTR
AT1G03090	Chr1	741525	741543	Exon (AT1G03090.2/AT1G03090, exon 7 of 16)
AT1G03130	Chr1	753607	753630	Exon (AT1G03130.1/AT1G03130, exon 1 of 1)
AT1G03130	Chr1	753704	753748	Exon (AT1G03130.1/AT1G03130, exon 1 of 1)
AT1G03130	Chr1	753774	753810	Promoter
AT1G03130	Chr1	753928	753953	Promoter
AT1G03130	Chr1	754017	754050	Promoter
AT1G03160	Chr1	761376	761387	Promoter
AT1G03220	Chr1	787176	787257	Promoter
AT1G03220	Chr1	787280	787320	Promoter
AT1G03230	Chr1	790146	790224	Promoter
AT1G03330	Chr1	818251	818276	Exon (AT1G03330.1/AT1G03330, exon 3 of 3)
AT1G03350	Chr1	824010	824020	Promoter
AT1G03380	Chr1	840387	840398	3' UTR
AT1G03457	Chr1	861357	861369	Exon (AT1G03457.3/AT1G03457, exon 7 of 8)
AT1G03470	Chr1	866866	866881	Exon (AT1G03470.2/AT1G03470, exon 3 of 3)
AT1G03475	Chr1	870403	870407	Exon (AT1G03475.1/AT1G03475, exon 3 of 8)
AT1G03475	Chr1	870496	870507	Exon (AT1G03475.1/AT1G03475, exon 2 of 8)
AT1G03475	Chr1	870805	870837	Promoter
AT1G03475	Chr1	870849	870852	Promoter
AT1G03475	Chr1	871045	871106	Promoter
AT1G04187	Chr1	875111	875142	Promoter
AT1G04193	Chr1	875294	875316	Promoter
AT1G03506	Chr1	875580	875580	Promoter
AT1G03506	Chr1	875582	875582	Promoter
AT1G03506	Chr1	875584	875584	Promoter
AT1G03506	Chr1	875586	875586	Promoter
AT1G03600	Chr1	898963	899086	Promoter
AT1G03600	Chr1	899221	899259	Exon (AT1G03600.1/AT1G03600, exon 1 of 1)
AT1G03600	Chr1	899362	899433	Exon (AT1G03600.1/AT1G03600, exon 1 of 1)
AT1G03630	Chr1	908491	908530	Exon (AT1G03630.1/AT1G03630, exon 3 of 5)
AT1G03680	Chr1	917169	917205	Exon (AT1G03680.1/AT1G03680, exon 2 of 2)
AT1G03680	Chr1	917745	917795	Promoter
AT1G03680	Chr1	917830	917863	Promoter
AT1G03820	Chr1	960503	960533	Promoter
AT1G03870	Chr1	982669	982685	Exon (AT1G03870.1/AT1G03870, exon 1 of 1)
AT1G03870	Chr1	983286	983336	Promoter
AT1G04223	Chr1	1009095	1009119	Promoter
AT1G03940	Chr1	1009252	1009357	3' UTR
AT1G03940	Chr1	1010682	1010709	Promoter
AT1G03990	Chr1	1026935	1026947	Exon (AT1G03990.1/AT1G03990, exon 3 of 3)
AT1G04030	Chr1	1042591	1042633	3' UTR
AT1G04040	Chr1	1043646	1043650	Promoter
AT1G04100	Chr1	1060857	1060864	Exon (AT1G04100.1/AT1G04100, exon 3 of 4)
AT1G04100	Chr1	1060957	1060960	Exon (AT1G04100.1/AT1G04100, exon 4 of 4)
AT1G04120	Chr1	1070715	1070729	5' UTR
AT1G04150	Chr1	1082095	1082111	Exon (AT1G04150.1/AT1G04150, exon 1 of 1)
AT1G04160	Chr1	1096201	1096216	3' UTR
AT1G04170	Chr1	1097476	1097519	Exon (AT1G04170.1/AT1G04170, exon 2 of 9)
AT1G04170	Chr1	1099585	1099593	Exon (AT1G04170.1/AT1G04170, exon 9 of 9)
AT1G04250	Chr1	1136593	1136614	Exon (AT1G04250.1/AT1G04250, exon 1 of 5)
AT1G04270	Chr1	1141903	1141923	Exon (AT1G04270.1/AT1G04270, exon 4 of 4)
AT1G04270	Chr1	1141971	1142022	Exon (AT1G04270.1/AT1G04270, exon 4 of 4)
AT1G04270	Chr1	1142580	1142593	Exon (AT1G04270.1/AT1G04270, exon 3 of 4)
AT1G04270	Chr1	1142607	1142634	Promoter
AT1G04270	Chr1	1142721	1142750	Promoter
AT1G04320	Chr1	1159060	1159093	Promoter
AT1G04410	Chr1	1189617	1189624	Exon (AT1G04410.1/AT1G04410, exon 6 of 7)
AT1G04410	Chr1	1189812	1189856	Exon (AT1G04410.1/AT1G04410, exon 5 of 7)
AT1G04410	Chr1	1190047	1190048	Exon (AT1G04410.1/AT1G04410, exon 4 of 7)
AT1G04410	Chr1	1190222	1190301	Exon (AT1G04410.1/AT1G04410, exon 4 of 7)
AT1G04410	Chr1	1190832	1190833	Exon (AT1G04410.1/AT1G04410, exon 2 of 7)
AT1G04410	Chr1	1190846	1190866	Exon (AT1G04410.1/AT1G04410, exon 2 of 7)
AT1G04430	Chr1	1198959	1199012	Exon (AT1G04430.1/AT1G04430, exon 2 of 8)
AT1G04430	Chr1	1200014	1200034	Exon (AT1G04430.1/AT1G04430, exon 5 of 8)
AT1G04440	Chr1	1204834	1204847	Exon (AT1G04440.1/AT1G04440, exon 12 of 14)
AT1G04440	Chr1	1205831	1205843	3' UTR
AT1G04455	Chr1	1210462	1210496	Promoter
AT1G04455	Chr1	1210505	1210537	Promoter
AT1G04480	Chr1	1216391	1216457	Promoter
AT1G04277	Chr1	1216980	1217003	Promoter
AT1G04480	Chr1	1217133	1217151	Exon (AT1G04480.1/AT1G04480, exon 3 of 3)
AT1G04530	Chr1	1235653	1235689	Exon (AT1G04530.1/AT1G04530, exon 1 of 5)
AT1G04540	Chr1	1237491	1237504	Exon (AT1G04540.1/AT1G04540, exon 1 of 1)
AT1G04560	Chr1	1245838	1245855	Exon (AT1G04560.1/AT1G04560, exon 3 of 3)
AT1G04580	Chr1	1252253	1252267	Exon (AT1G04580.1/AT1G04580, exon 10 of 10)
AT1G04600	Chr1	1264300	1264310	Exon (AT1G04600.1/AT1G04600, exon 9 of 42)
AT1G04630	Chr1	1290783	1290796	Promoter
AT1G04680	Chr1	1307695	1307720	Promoter
AT1G04690	Chr1	1314468	1314489	Exon (AT1G04690.1/AT1G04690, exon 2 of 5)
AT1G04690	Chr1	1315380	1315384	Exon (AT1G04690.1/AT1G04690, exon 5 of 5)
AT1G04700	Chr1	1319108	1319119	Exon (AT1G04700.1/AT1G04700, exon 3 of 9)
AT1G04710	Chr1	1322671	1322685	Exon (AT1G04710.1/AT1G04710, exon 4 of 14)
AT1G04720	Chr1	1324971	1324990	Promoter
AT1G04750	Chr1	1331868	1331879	Exon (AT1G04750.1/AT1G04750, exon 5 of 5)
AT1G04750	Chr1	1333250	1333338	5' UTR
AT1G04760	Chr1	1336607	1336631	3' UTR
AT1G04790	Chr1	1348663	1348721	3' UTR
AT1G04790	Chr1	1348757	1348803	3' UTR
AT1G04790	Chr1	1348816	1348848	3' UTR
AT1G04800	Chr1	1348986	1349037	Promoter
AT1G04800	Chr1	1349096	1349201	Promoter
AT1G04810	Chr1	1353541	1353553	Exon (AT1G04810.1/AT1G04810, exon 10 of 13)
AT1G04820	Chr1	1356457	1356494	Exon (AT1G04820.1/AT1G04820, exon 3 of 3)
AT1G04820	Chr1	1357220	1357303	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357590	1357643	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357664	1357711	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1357759	1357763	Exon (AT1G04820.1/AT1G04820, exon 2 of 3)
AT1G04820	Chr1	1358174	1358189	Promoter
AT1G04820	Chr1	1358252	1358264	Promoter
AT1G04850	Chr1	1365363	1365396	Exon (AT1G04850.2/AT1G04850, exon 12 of 12)
AT1G04870	Chr1	1375195	1375210	5' UTR
AT1G04900	Chr1	1385427	1385440	Exon (AT1G04900.1/AT1G04900, exon 5 of 13)
AT1G05000	Chr1	1428109	1428114	3' UTR
AT1G05000	Chr1	1428206	1428224	3' UTR
AT1G05010	Chr1	1431578	1431606	Exon (AT1G05010.1/AT1G05010, exon 4 of 4)
AT1G05010	Chr1	1431921	1431960	Exon (AT1G05010.1/AT1G05010, exon 3 of 4)
AT1G05010	Chr1	1431993	1432034	Exon (AT1G05010.1/AT1G05010, exon 3 of 4)
AT1G05010	Chr1	1432116	1432117	Exon (AT1G05010.1/AT1G05010, exon 3 of 4)
AT1G05010	Chr1	1432292	1432337	Exon (AT1G05010.1/AT1G05010, exon 2 of 4)
AT1G05010	Chr1	1432512	1432512	Promoter
AT1G05055	Chr1	1450015	1450031	Exon (AT1G05055.1/AT1G05055, exon 2 of 4)
AT1G05090	Chr1	1465556	1465571	Exon (AT1G05090.1/AT1G05090, exon 2 of 2)
AT1G05190	Chr1	1502574	1502620	Exon (AT1G05190.1/AT1G05190, exon 3 of 3)
AT1G05190	Chr1	1502706	1502718	Exon (AT1G05190.1/AT1G05190, exon 3 of 3)
AT1G05205	Chr1	1509421	1509436	Exon (AT1G05205.1/AT1G05205, exon 3 of 3)
AT1G05205	Chr1	1509692	1509699	Exon (AT1G05205.1/AT1G05205, exon 2 of 3)
AT1G05240	Chr1	1521407	1521407	Exon (AT1G05240.1/AT1G05240, exon 1 of 4)
AT1G05240	Chr1	1521409	1521413	Exon (AT1G05240.1/AT1G05240, exon 1 of 4)
AT1G05240	Chr1	1521505	1521515	Exon (AT1G05240.1/AT1G05240, exon 2 of 4)
AT1G05240	Chr1	1521683	1521689	Exon (AT1G05240.1/AT1G05240, exon 2 of 4)
AT1G05240	Chr1	1521783	1521798	Exon (AT1G05240.1/AT1G05240, exon 3 of 4)
AT1G05240	Chr1	1522067	1522089	Exon (AT1G05240.1/AT1G05240, exon 4 of 4)
AT1G05250	Chr1	1526055	1526056	Exon (AT1G05250.1/AT1G05250, exon 4 of 4)
AT1G05250	Chr1	1526242	1526276	Exon (AT1G05250.1/AT1G05250, exon 4 of 4)
AT1G05250	Chr1	1526282	1526305	Exon (AT1G05250.1/AT1G05250, exon 4 of 4)
AT1G05250	Chr1	1526460	1526493	Exon (AT1G05250.1/AT1G05250, exon 3 of 4)
AT1G05250	Chr1	1526855	1526856	Exon (AT1G05250.1/AT1G05250, exon 2 of 4)
AT1G05250	Chr1	1527075	1527104	Promoter
AT1G05260	Chr1	1529874	1529901	Promoter
AT1G05260	Chr1	1530430	1530432	Exon (AT1G05260.1/AT1G05260, exon 3 of 4)
AT1G05270	Chr1	1532188	1532203	Intron (AT1G05270.1/AT1G05270, intron 7 of 8)
AT1G05390	Chr1	1583790	1583809	Promoter
AT1G05490	Chr1	1620753	1620769	Intron (AT1G05490.1/AT1G05490, intron 3 of 3)
AT1G05630	Chr1	1684664	1684681	Exon (AT1G05630.1/AT1G05630, exon 4 of 10)
AT1G05740	Chr1	1721168	1721180	Exon (AT1G05740.1/AT1G05740, exon 3 of 3)
AT1G05820	Chr1	1753205	1753221	3' UTR
AT1G05850	Chr1	1767893	1767922	Exon (AT1G05850.1/AT1G05850, exon 2 of 4)
AT1G05850	Chr1	1767952	1767973	Exon (AT1G05850.1/AT1G05850, exon 2 of 4)
AT1G05850	Chr1	1768028	1768078	Exon (AT1G05850.1/AT1G05850, exon 2 of 4)
AT1G05910	Chr1	1790874	1790886	Exon (AT1G05910.1/AT1G05910, exon 2 of 11)
AT1G05940	Chr1	1801664	1801675	3' UTR
AT1G05940	Chr1	1803754	1803766	5' UTR
AT1G06000	Chr1	1821449	1821489	Promoter
AT1G06040	Chr1	1828899	1828905	3' UTR
AT1G06040	Chr1	1828987	1829011	Exon (AT1G06040.1/AT1G06040, exon 2 of 3)
AT1G06040	Chr1	1829549	1829587	Promoter
AT1G06060	Chr1	1834628	1834640	3' UTR
AT1G06210	Chr1	1898232	1898240	Exon (AT1G06210.1/AT1G06210, exon 3 of 4)
AT1G06220	Chr1	1900905	1900937	Exon (AT1G06220.1/AT1G06220, exon 2 of 11)
AT1G06220	Chr1	1902259	1902298	Exon (AT1G06220.1/AT1G06220, exon 4 of 11)
AT1G06220	Chr1	1903547	1903557	Exon (AT1G06220.1/AT1G06220, exon 8 of 11)
AT1G06220	Chr1	1903661	1903670	Exon (AT1G06220.1/AT1G06220, exon 8 of 11)
AT1G06240	Chr1	1911553	1911561	Promoter
AT1G06290	Chr1	1922778	1922808	Exon (AT1G06290.1/AT1G06290, exon 1 of 13)
AT1G06290	Chr1	1924279	1924302	Exon (AT1G06290.1/AT1G06290, exon 7 of 13)
AT1G06410	Chr1	1955476	1955495	Exon (AT1G06410.1/AT1G06410, exon 2 of 5)
AT1G06430	Chr1	1960782	1960784	Exon (AT1G06430.2/AT1G06430, exon 3 of 4)
AT1G06430	Chr1	1961903	1961905	Exon (AT1G06430.2/AT1G06430, exon 1 of 4)
AT1G06430	Chr1	1962187	1962215	Exon (AT1G06430.2/AT1G06430, exon 1 of 4)
AT1G06430	Chr1	1962461	1962476	Exon (AT1G06430.2/AT1G06430, exon 1 of 4)
AT1G06430	Chr1	1962967	1962979	5' UTR
AT1G06460	Chr1	1967305	1967338	3' UTR
AT1G06480	Chr1	1978120	1978140	Promoter
AT1G06480	Chr1	1978144	1978156	Promoter
AT1G06490	Chr1	1980025	1980038	Exon (AT1G06490.2/AT1G06490, exon 6 of 41)
AT1G06670	Chr1	2044057	2044067	Exon (AT1G06670.1/AT1G06670, exon 12 of 14)
AT1G06680	Chr1	2047980	2047988	5' UTR
AT1G06680	Chr1	2048011	2048054	5' UTR
AT1G06680	Chr1	2048088	2048178	Promoter
AT1G06680	Chr1	2048309	2048322	Exon (AT1G06680.1/AT1G06680, exon 2 of 4)
AT1G06680	Chr1	2048327	2048336	Exon (AT1G06680.1/AT1G06680, exon 2 of 4)
AT1G06680	Chr1	2048460	2048504	Exon (AT1G06680.1/AT1G06680, exon 2 of 4)
AT1G06680	Chr1	2048628	2048646	Exon (AT1G06680.1/AT1G06680, exon 3 of 4)
AT1G06680	Chr1	2048667	2048669	Exon (AT1G06680.1/AT1G06680, exon 3 of 4)
AT1G06680	Chr1	2048930	2048949	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06680	Chr1	2049018	2049056	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06680	Chr1	2049095	2049165	Exon (AT1G06680.1/AT1G06680, exon 4 of 4)
AT1G06690	Chr1	2052106	2052109	5' UTR
AT1G04503	Chr1	2076920	2076965	Promoter
AT1G06760	Chr1	2077514	2077540	Promoter
AT1G06770	Chr1	2079910	2079923	Exon (AT1G06770.2/AT1G06770, exon 3 of 6)
AT1G04517	Chr1	2107383	2107394	Promoter
AT1G06870	Chr1	2110235	2110251	Exon (AT1G06870.1/AT1G06870, exon 4 of 6)
AT1G04527	Chr1	2111126	2111146	Promoter
AT1G06880	Chr1	2111188	2111209	Promoter
AT1G06890	Chr1	2112496	2112509	Exon (AT1G06890.4/AT1G06890, exon 7 of 10)
AT1G06950	Chr1	2134752	2134768	Exon (AT1G06950.1/AT1G06950, exon 3 of 15)
AT1G07000	Chr1	2151703	2151705	Exon (AT1G07000.1/AT1G07000, exon 2 of 2)
AT1G07000	Chr1	2151814	2151822	Exon (AT1G07000.1/AT1G07000, exon 1 of 2)
AT1G07010	Chr1	2153244	2153256	Promoter
AT1G07060	Chr1	2167741	2167755	Exon (AT1G07060.2/AT1G07060, exon 3 of 5)
AT1G07070	Chr1	2169515	2169528	Exon (AT1G07070.1/AT1G07070, exon 3 of 4)
AT1G07070	Chr1	2169677	2169681	Exon (AT1G07070.1/AT1G07070, exon 4 of 4)
AT1G07080	Chr1	2170215	2170266	Promoter
AT1G07135	Chr1	2190550	2190550	Promoter
AT1G07140	Chr1	2192490	2192512	Exon (AT1G07140.1/AT1G07140, exon 4 of 4)
AT1G07140	Chr1	2193130	2193144	Exon (AT1G07140.1/AT1G07140, exon 3 of 4)
AT1G07210	Chr1	2215418	2215423	Promoter
AT1G07210	Chr1	2215513	2215527	Promoter
AT1G07260	Chr1	2228531	2228546	Exon (AT1G07260.1/AT1G07260, exon 1 of 1)
AT1G07320	Chr1	2249253	2249283	Promoter
AT1G07320	Chr1	2249347	2249362	Promoter
AT1G07320	Chr1	2249459	2249481	Promoter
AT1G07320	Chr1	2249535	2249566	Exon (AT1G07320.1/AT1G07320, exon 1 of 2)
AT1G07320	Chr1	2249839	2249863	Exon (AT1G07320.1/AT1G07320, exon 1 of 2)
AT1G07320	Chr1	2249927	2249989	Exon (AT1G07320.1/AT1G07320, exon 1 of 2)
AT1G07400	Chr1	2275311	2275317	Promoter
AT1G07550	Chr1	2322712	2322725	Exon (AT1G07550.1/AT1G07550, exon 13 of 13)
AT1G07590	Chr1	2338907	2338922	5' UTR
AT1G07590	Chr1	2338939	2338985	5' UTR
AT1G07590	Chr1	2339265	2339283	5' UTR
AT1G07590	Chr1	2339287	2339303	5' UTR
AT1G07610	Chr1	2341642	2341656	Promoter
AT1G07610	Chr1	2341784	2341809	Promoter
AT1G07660	Chr1	2369251	2369264	Promoter
AT1G07700	Chr1	2381144	2381156	3' UTR
AT1G07705	Chr1	2383349	2383359	Exon (AT1G07705.2/AT1G07705, exon 7 of 15)
AT1G07710	Chr1	2387698	2387716	Exon (AT1G07710.1/AT1G07710, exon 2 of 3)
AT1G07725	Chr1	2396814	2396827	Promoter
AT1G07730	Chr1	2398005	2398015	3' UTR
AT1G07750	Chr1	2405242	2405261	Exon (AT1G07750.1/AT1G07750, exon 2 of 3)
AT1G07750	Chr1	2405668	2405673	Promoter
AT1G07760	Chr1	2406853	2406868	Promoter
AT1G07770	Chr1	2408470	2408512	Exon (AT1G07770.1/AT1G07770, exon 5 of 5)
AT1G07770	Chr1	2408681	2408745	Exon (AT1G07770.1/AT1G07770, exon 4 of 5)
AT1G07770	Chr1	2408827	2408842	Exon (AT1G07770.1/AT1G07770, exon 4 of 5)
AT1G07770	Chr1	2408933	2408940	Exon (AT1G07770.1/AT1G07770, exon 3 of 5)
AT1G07770	Chr1	2408997	2409011	Exon (AT1G07770.1/AT1G07770, exon 3 of 5)
AT1G07780	Chr1	2410844	2410880	Exon (AT1G07780.5/AT1G07780, exon 6 of 7)
AT1G07780	Chr1	2411225	2411235	5' UTR
AT1G07790	Chr1	2413426	2413458	Promoter
AT1G07810	Chr1	2417277	2417298	Exon (AT1G07810.1/AT1G07810, exon 2 of 9)
AT1G07810	Chr1	2417317	2417317	Exon (AT1G07810.1/AT1G07810, exon 2 of 9)
AT1G07810	Chr1	2417375	2417404	Exon (AT1G07810.1/AT1G07810, exon 2 of 9)
AT1G07820	Chr1	2421456	2421474	Exon (AT1G07820.1/AT1G07820, exon 1 of 1)
AT1G07820	Chr1	2421492	2421493	Exon (AT1G07820.1/AT1G07820, exon 1 of 1)
AT1G07820	Chr1	2421515	2421529	Exon (AT1G07820.1/AT1G07820, exon 1 of 1)
AT1G07820	Chr1	2421693	2421707	Promoter
AT1G07890	Chr1	2438040	2438066	Exon (AT1G07890.1/AT1G07890, exon 2 of 9)
AT1G07890	Chr1	2438497	2438556	Exon (AT1G07890.1/AT1G07890, exon 4 of 9)
AT1G07890	Chr1	2438709	2438771	Exon (AT1G07890.1/AT1G07890, exon 5 of 9)
AT1G07890	Chr1	2438970	2438999	Exon (AT1G07890.1/AT1G07890, exon 6 of 9)
AT1G07890	Chr1	2439147	2439180	Exon (AT1G07890.1/AT1G07890, exon 7 of 9)
AT1G07890	Chr1	2439295	2439298	Exon (AT1G07890.1/AT1G07890, exon 8 of 9)
AT1G07890	Chr1	2439319	2439322	Exon (AT1G07890.1/AT1G07890, exon 8 of 9)
AT1G07920	Chr1	2455874	2455880	Exon (AT1G07920.1/AT1G07920, exon 2 of 3)
AT1G07920	Chr1	2455926	2455935	Exon (AT1G07920.1/AT1G07920, exon 2 of 3)
AT1G07920	Chr1	2456184	2456227	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456510	2456544	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07920	Chr1	2456649	2456690	Exon (AT1G07920.1/AT1G07920, exon 3 of 3)
AT1G07930	Chr1	2459193	2459234	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459238	2459283	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459285	2459287	Exon (AT1G07930.1/AT1G07930, exon 2 of 3)
AT1G07930	Chr1	2459823	2459895	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07930	Chr1	2460214	2460214	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07930	Chr1	2460256	2460344	Exon (AT1G07930.1/AT1G07930, exon 3 of 3)
AT1G07940	Chr1	2463428	2463501	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463518	2463541	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463657	2463699	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463751	2463760	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463809	2463839	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2463869	2463906	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2464137	2464159	Exon (AT1G07940.3/AT1G07940, exon 3 of 3)
AT1G07940	Chr1	2464408	2464412	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G07940	Chr1	2464585	2464614	Exon (AT1G07940.3/AT1G07940, exon 2 of 3)
AT1G08030	Chr1	2491249	2491263	Exon (AT1G08030.1/AT1G08030, exon 7 of 13)
